Car Model,Battery Level (%),Distance to Nearest Charging Station (miles),Passenger Capacity,Price ($)
Tesla Model S,75,2.3,4,75000
Toyota AV4,85,1.5,5,40000
Google Waymo,60,0.8,2,120000
Ford AutoDrive,70,2,4,55000
Uber Cruise,90,1.2,3,60000
Nissan DriveBot,50,3.5,5,35000
Apple iDrive,80,0.5,2,110000
Tesla Model X,70,2.8,6,85000
Ford FutureDrive,75,1.4,3,42000
GM GreenDrive,80,1.2,4,58000
Honda AutoPilot,65,2.6,4,48000
Hyundai RoboCar,90,1,5,60000
Kia SmartDrive,55,3.2,5,38000
NIO SuperAuto,85,0.7,2,90000
Mercedes Autobahn,75,2,4,72000
VW ElektricDrive,70,1.3,5,52000
BWM eCruise,80,0.8,2,95000
Audi ProPilot,60,2.5,4,75000
Lexus SelfRide,90,0.6,3,89000
Porsche RoboGT,85,1.2,2,110000
Volvo AutoGuide,70,1.8,4,55000
Subaru iNavigate,75,2.3,5,47000
Jaguar eDrive,80,0.5,2,105000
Chrysler AutoMate,65,1.9,4,60000
Mazda AutoTrack,85,1.1,5,50000
Lamborghini AI,50,2.7,2,220000
Ferrari RoboRace,90,0.3,2,250000
BMW e4Drive,75,1.6,4,62000
Chevrolet Volt,70,1.8,5,32000
Ford EV Fusion,85,0.9,4,35000
Nissan Leaf,90,1.2,5,28000
Tesla Model C,80,2.5,4,45000
Toyota GreenDrive,65,2.2,5,40000
VW e-Golf,60,3,4,38000
Audi e-Tron,70,0.7,5,58000
Hyundai Kona EV,85,1.1,4,42000
Jaguar I-PACE,90,0.8,5,65000
Kia Soul EV,75,1.9,4,30000
Mazda MX-30 EV,80,1,5,32000
Mercedes EQC,70,1.4,4,55000
NIO ET7,65,1.8,5,55000
Porsche Taycan,85,0.6,4,90000
Rivian R1S,90,1.2,7,70000
Tesla Model B,75,2.3,5,40000
Volvo XC40 Recharge,80,0.5,4,45000
Polestar 2,70,1.3,5,50000
Lucid Air,85,1,4,80000
Tesla Model S,75,2.3,4,75000
Toyota AV4,85,1.5,5,40000
Google Waymo,60,0.8,2,120000
Ford AutoDrive,70,2,4,55000
Uber Cruise,90,1.2,3,60000
Nissan DriveBot,50,3.5,5,35000
Apple iDrive,80,0.5,2,110000
Tesla Model X,70,2.8,6,85000
Ford FutureDrive,75,1.4,4,60000
GM GreenDrive,80,0.9,5,58000
Honda AutoPilot,65,2.6,4,48000
Hyundai RoboCar,90,1,3,42000
Kia SmartDrive,55,3.2,5,38000
NIO SuperAuto,85,0.7,2,90000
Mercedes Autobahn,75,2,4,72000
VW ElektricDrive,70,1.3,5,52000
BWM eCruise,80,0.8,2,95000
Audi ProPilot,60,2.5,4,75000
Lexus SelfRide,90,0.6,3,89000
Porsche RoboGT,85,1.2,2,110000
Volvo AutoGuide,70,1.8,4,55000
Subaru iNavigate,75,2.3,5,47000
Jaguar eDrive,80,0.5,2,105000
Chrysler AutoMate,65,1.9,4,60000
Mazda AutoTrack,85,1.1,5,50000
Lamborghini AI,50,2.7,2,220000
